scenario,status,best_epoch,train_samples,val_samples,num_classes,train_loss,train_top1_acc,train_top3_acc,val_loss,val_top1_acc,val_top3_acc,checkpoint,error
city_10_austin_3p5,ok,24,63105,12800,64,1.5291283002142275,0.5320497583392758,0.7583075826004279,2.4072082948684694,0.399296875,0.6071875,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_11_santaclara_3p5,ok,9,62492,14354,64,1.8159469759495548,0.45713051272851746,0.6761025411519703,2.425418478641667,0.33314755469066476,0.5626306256345011,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_12_fortworth_3p5,ok,23,53661,8004,64,2.0791126482419324,0.3715361249318909,0.6188293173802276,2.6309400685485276,0.2809845077014458,0.5107446277755192,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_13_columbus_3p5,ok,31,26986,2216,64,1.4792029721931452,0.535388720077077,0.7902616172099073,2.2140920015879058,0.43998194945848373,0.6719314079422383,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_18_denver_3p5,ok,85,68257,13040,64,2.1028871575899912,0.3787596876576327,0.6305140864620826,3.3946144779766994,0.20138036815301041,0.40391104320075616,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_1_losangeles_3p5,ok,53,44471,5585,64,1.8112121795546987,0.4327764160377732,0.6801511096529738,2.672996354039055,0.2940017905236358,0.5251566696828673,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_2_chicago_3p5,ok,21,20308,2217,64,1.3121606536754031,0.5434804017886135,0.8503545401062063,1.859848234693263,0.3951285518823468,0.7329724852867797,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_3_houston_3p5,ok,10,54220,9350,64,1.8348340357594366,0.4379564736193724,0.6928992991867825,2.2839692867503447,0.34427807487268497,0.5744385026865464,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_4_phoenix_3p5,ok,7,48866,7679,64,1.8642284636930169,0.42878484013492096,0.6893750255338073,2.2259051796824596,0.3770022136164699,0.6128402133987105,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_5_philadelphia_3p5,ok,39,24935,1071,64,1.7484781600632027,0.4549829556572908,0.7137357128056109,2.5956383868982367,0.35294117623406185,0.5779645181114044,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_6_miami_3p5,ok,45,65843,11924,64,1.5470582890235,0.5142384156395315,0.7780933432658848,2.232678059722225,0.42938611205293603,0.6770379067626986,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_7_sandiego_3p5,ok,10,53476,8243,64,2.0103332868857535,0.3775338469304039,0.649020121126812,2.410897107316961,0.3015892272429835,0.5810991145447159,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_8_dallas_3p5,ok,37,73130,15325,64,2.144625189309894,0.3801859701917026,0.5987829891907994,3.091090576271443,0.26871125610481467,0.46845024461652873,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_9_sanfrancisco_3p5,ok,40,48923,6495,64,1.7282634675179918,0.47961081700423164,0.7235042822382192,2.6617428649288586,0.31562740594905736,0.5294842190610344,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
