scenario,status,best_epoch,train_samples,val_samples,train_loss,train_mde_m,val_loss,val_mde_m,val_median_mde_m,val_p90_mde_m,checkpoint,error
city_0_newyork_3p5_s,ok,1,55027,11933,38.606841107531956,62.901123046875,46.12944773753371,78.0887680053711,63.561729431152344,157.33355712890625,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_10_austin_3p5,error,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"CUDA out of memory. Tried to allocate 48.00 MiB. GPU 0 has a total capacity of 79.18 GiB of which 12.00 MiB is free. Process 2660751 has 5.31 GiB memory in use. Process 2660948 has 5.28 GiB memory in use. Process 2660850 has 3.34 GiB memory in use. Process 2660886 has 5.35 GiB memory in use. Process 2660793 has 5.33 GiB memory in use. Process 2660784 has 5.31 GiB memory in use. Process 2660870 has 3.34 GiB memory in use. Process 2660918 has 5.35 GiB memory in use. Process 2660858 has 5.24 GiB memory in use. Including non-PyTorch memory, this process has 5.21 GiB memory in use. Process 2660746 has 5.49 GiB memory in use. Process 2660977 has 5.26 GiB memory in use. Process 2660933 has 5.31 GiB memory in use. Process 2660829 has 5.31 GiB memory in use. Process 2660995 has 3.34 GiB memory in use. Process 2660769 has 5.31 GiB memory in use. Of the allocated memory 4.18 GiB is allocated by PyTorch, and 295.17 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
city_11_santaclara_3p5,ok,1,63082,14448,42.71720956075676,69.49820709228516,41.78879876205428,69.78883361816406,58.86145782470703,130.8512725830078,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_12_fortworth_3p5,ok,28,59076,9946,6.431102857680769,11.324431419372559,40.95933494821008,67.12432861328125,59.92191696166992,127.99472045898438,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_13_columbus_3p5,ok,44,27014,2167,6.515446502450852,11.31240177154541,32.60214807099332,55.49812316894531,44.31635665893555,112.02838134765625,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_17_seattle_3p5_s,ok,44,53850,9245,3.8624513991098217,6.954395294189453,37.06113680297455,61.217308044433594,53.84560775756836,118.44131469726562,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_18_denver_3p5,ok,28,71059,13713,5.43746947732194,9.433505058288574,43.91068552345883,72.41058349609375,66.3238754272461,133.9652099609375,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_1_losangeles_3p5,ok,40,44492,5593,4.558352418611625,8.157337188720703,34.19218029661296,58.867156982421875,49.690284729003906,118.52923583984375,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_2_chicago_3p5,ok,3,20317,2237,30.9385961640648,52.502471923828125,33.258836609793924,58.699214935302734,60.677513122558594,92.40316772460938,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_3_houston_3p5,ok,13,54346,9508,8.327444334707161,14.109424591064453,36.58135608228556,61.43061065673828,53.7562255859375,116.51530456542969,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_4_phoenix_3p5,ok,44,48946,7649,7.470904877309254,13.208932876586914,46.3371486855825,75.88560485839844,63.84612274169922,159.21990966796875,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_5_philadelphia_3p5,ok,47,25482,1082,8.796314798151059,15.382347106933594,38.37600760186666,65.95285034179688,56.534996032714844,132.38206481933594,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_6_miami_3p5,error,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"CUDA out of memory. Tried to allocate 24.00 MiB. GPU 0 has a total capacity of 79.18 GiB of which 12.00 MiB is free. Process 2660751 has 5.31 GiB memory in use. Process 2660948 has 5.28 GiB memory in use. Including non-PyTorch memory, this process has 3.34 GiB memory in use. Process 2660886 has 5.35 GiB memory in use. Process 2660793 has 5.33 GiB memory in use. Process 2660784 has 5.31 GiB memory in use. Process 2660870 has 3.34 GiB memory in use. Process 2660918 has 5.35 GiB memory in use. Process 2660858 has 5.24 GiB memory in use. Process 2660904 has 5.21 GiB memory in use. Process 2660746 has 5.49 GiB memory in use. Process 2660977 has 5.26 GiB memory in use. Process 2660933 has 5.31 GiB memory in use. Process 2660829 has 5.31 GiB memory in use. Process 2660995 has 3.34 GiB memory in use. Process 2660769 has 5.31 GiB memory in use. Of the allocated memory 2.37 GiB is allocated by PyTorch, and 225.17 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
city_7_sandiego_3p5,ok,33,54354,8722,6.442747420224545,11.36818790435791,40.794285747770374,68.97721862792969,58.50513458251953,138.17845153808594,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_8_dallas_3p5,ok,1,73761,15844,41.544597901228855,66.11193084716797,40.92584347068827,67.33174133300781,64.38055419921875,111.41948699951172,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_9_sanfrancisco_3p5,ok,21,49377,6744,6.3943855188030865,11.0509672164917,45.88352972191282,74.25221252441406,65.76724243164062,144.1691436767578,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
boston5g_3p5,ok,44,84391,18109,7.771164266092216,13.000783920288086,29.13245385410284,51.40276336669922,23.550256729125977,132.97076416015625,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_16_sanfrancisco_3p5_lwm,ok,6,34227,5578,21.99630630694448,38.284976959228516,41.78078167170938,69.41922760009766,67.77766418457031,121.78001403808594,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_19_oklahoma_3p5_s,ok,47,69266,14042,2.9341173540780696,5.373077392578125,37.60056578659668,62.89535140991211,52.91783142089844,128.82594299316406,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_23_beijing_3p5,ok,45,36487,8475,6.577027023875919,11.182031631469727,49.20563775841817,80.60868835449219,59.655120849609375,173.28428649902344,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_31_barcelona_3p5,ok,6,30023,5623,22.8021231394869,39.00786590576172,40.003978612561596,63.19732666015625,43.865535736083984,141.11740112304688,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_35_san_francisco_3p5,ok,44,22554,4106,4.102532369041629,7.2524614334106445,36.881340259119064,63.62950897216797,56.19489669799805,125.26931762695312,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_47_chicago_3p5,ok,47,22442,4101,4.860998386262031,8.676565170288086,45.89077135842767,72.32549285888672,56.69072341918945,154.22454833984375,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_72_capetown_3p5,error,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,Missing train data for city_72_capetown_3p5: /home/blessedg/Pathformer/WiFo/dataset/blessed_task_user_loc/_city_72_capetown_3p5_train_data.pt
city_84_baoding_3p5,ok,46,148090,36919,5.233237088105738,9.120301246643066,39.46216480959088,69.57978057861328,52.36331558227539,158.4309844970703,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_86_ankara_3p5,ok,47,134437,32104,6.493716338168216,11.084711074829102,41.57759447475636,74.68092346191406,57.13574981689453,159.39585876464844,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_88_tongshan_3p5,ok,42,181776,45521,5.4691679160177955,9.43790340423584,41.465730507431786,73.39263916015625,48.521419525146484,176.34507751464844,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_89_nairobi_3p5,ok,48,256078,64026,5.138306855613531,8.906167030334473,38.401422877218316,68.67132568359375,43.5977668762207,176.72885131835938,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_91_xiangyang_3p5,ok,5,147070,35631,46.500672418842456,77.35198974609375,58.371150017186146,97.11524963378906,86.8169174194336,177.42544555664062,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_92_sãopaulo_3p5,error,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"PytorchStreamReader failed reading zip archive: not a ZIP archive. This is an internal miniz error. If you are seeing this error, there is a high likelihood that your checkpoint file is corrupted. This can happen if the checkpoint was not saved properly, was transferred incorrectly, or the file was modified after saving."
city_95_delhi_3p5,ok,45,227914,56979,4.536643269261699,7.989947319030762,39.55054833859341,71.8399887084961,44.077125549316406,182.6108856201172,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_96_osaka_3p5,ok,30,195817,48959,6.477337775386767,11.059596061706543,41.52412688020919,73.93180847167969,54.115074157714844,165.11428833007812,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
