delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,delay_mae,power_mae,phase_mae,az_mae,el_mae,path_length_rmse,path_length_mae,scenario,n_val,n_eval,n_skipped_no_tx_match,k,knn_mode,error
0.3448877151956077,1.5149556188508673,93.82958271547365,13.302077765537613,1.2562599539016714,0.2650215991935932,1.2215032995687722,89.77924808609625,10.099687604839989,0.9111029715856238,0.016315975791589613,0.016315975791589613,city_47_chicago_3p5,5646.0,5646.0,0.0,10.0,kth,
2.9434519116144395,4.47912088702577,100.41584434479815,63.09282970371707,7.030126182776543,2.0563624078418,3.522284128980904,89.42670643069316,46.538394987284896,4.846822811580819,0.04401520953383671,0.04401520953383671,city_23_beijing_3p5,9205.0,9205.0,0.0,10.0,kth,
1.1235509539590027,2.5061852508694002,100.19204621897818,37.21705741937511,6.207121115329666,0.7469063371448683,2.0408759147754862,88.22495568446769,25.00035320912029,4.109848674820719,0.004347492588255692,0.004347492588255692,city_91_xiangyang_3p5,36490.0,36490.0,0.0,10.0,kth,
1.521482684462695,6.167285987084074,81.11699890052492,44.61491574257196,11.841041577204724,1.0477892160200366,4.758040764792783,61.86007315778393,31.214231358259315,8.189608928919009,0.05886130549331486,0.05886130549331486,city_17_seattle_3p5_s,13454.0,13454.0,0.0,10.0,kth,
0.6750229449582068,2.8577145812253146,100.03034693505583,36.894658359017626,3.988936061625317,0.44954478620796345,2.2412957953775607,89.29702564630459,25.346921771758094,2.739975413020043,0.04410482691069197,0.04410482691069197,city_12_fortworth_3p5,14958.0,14958.0,0.0,10.0,kth,
1.657375385551466,2.0110042215210715,100.4408511610612,35.38023752153588,5.919772840904235,0.9940724735118358,1.6071827911810066,88.34805491912805,22.47639259839692,3.8627008974615844,0.002454471943816317,0.002454471943816317,city_92_sãopaulo_3p5,39536.0,39536.0,0.0,10.0,kth,
0.536377525552113,1.709381747390087,92.0230701930122,12.116381643429003,1.7750989395614962,0.390761059699374,1.353871129897322,86.3145107565517,8.510942285265939,1.2074015746480735,0.021939822991864873,0.021939822991864873,city_35_san_francisco_3p5,5650.0,5650.0,0.0,10.0,kth,
4.598305087400571,8.469577708509233,77.1946132679189,58.8908694819562,2.2242063642006427,4.2097569654858304,7.987539771814195,66.2620553943373,52.68116208485195,1.828601453027555,0.09041269873342817,0.09041269873342817,city_10_florida_villa_7gp_1758095156175,315.0,315.0,0.0,10.0,kth,
2.562851370429583,5.205273462033612,82.43208795631541,53.76087016536948,11.635894921345274,1.600841549580644,3.8042009637117253,58.11606222561382,36.09093998447556,7.222777204982709,0.049075899932279794,0.049075899932279794,city_19_oklahoma_3p5_s,17444.0,17444.0,0.0,10.0,kth,
,,,,,,,,,,,,city_74_chiyoda_3p5,,,,,,"Unable to allocate 940. GiB for an array with shape (145298, 578664, 3) and data type float32"
