scenario,delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,path_length_rmse,delay_mae,power_mae,phase_mae,avg_az_mae,avg_el_mae,path_length_mae,best_val_loss
city_47_chicago_3p5,0.09915416970202176,7.562738979460287,95.04478383706133,20.736577387641834,2.6741053192502497,0.11235573595067076,0.08315916526901002,6.613465058985138,89.99968926871959,16.636729783615742,2.2273656470114527,0.11235573595067076,0.6246108425988092
city_23_beijing_3p5,0.31474001414907943,18.62606354768609,101.58004690130919,74.71403972170134,8.344030853634875,0.678031839290305,0.2307416671094834,16.884532606154924,89.94889780290097,62.65615280724815,7.158760598692021,0.678031839290305,1.1153657618496153
city_47_chicago_3p5,0.07729514633418508,3.3608906537296366,96.27381168413027,17.553710013867516,2.611955979189714,0.11235573595067076,0.06422045116939291,2.874800404324584,91.26584264846123,13.791628880045577,2.003428719987947,0.11235573595067076,0.6062450726826986
city_91_xiangyang_3p5,0.3718458311204771,28.292656722085773,102.58539575449765,62.56834736391106,8.21046452166063,0.41423725203183964,0.34596432030216784,27.214903308411564,90.04792382330984,55.81051294664776,6.492996084652525,0.41423725203183964,0.9716933505101637
city_17_seattle_3p5_s,0.2297996840846351,16.95053678706246,91.3659077107295,57.717102525850734,13.229642220768511,0.6062231320290827,0.20354414088510323,15.012888162650341,73.46578053811764,49.87216732978502,10.369001979886892,0.6062231320290827,0.8279209648663143
city_12_fortworth_3p5,0.23254618402472657,17.969552912516363,101.4472996231419,82.69186230270218,5.576371599115787,0.5493650295717988,0.21175189308782555,16.46431993810964,90.24191339584353,76.34301192109511,4.4316358874867126,0.5493650295717988,0.9173437036000766
city_92_sãopaulo_3p5,0.363416634053552,17.742672044259184,102.59378989289908,55.801040662255836,9.523568798222918,0.4069911100890733,0.32080186294882757,16.86213730325985,89.91434098004041,46.71529965680085,8.013611722904894,0.4069911100890733,0.9623315050763991
city_35_san_francisco_3p5,0.11615098206956863,9.061077706782164,98.37272265584068,28.683556642437402,3.938312262832723,0.1617302097861482,0.09216000959887045,8.110237465057752,90.0497586628399,24.884483641713068,3.2328113878986477,0.1617302097861482,0.7491652568181356
city_10_florida_villa_7gp_1758095156175,1.0914400084151161,96.74977837214394,92.57287070713346,79.39541999442237,2.712104750294534,0.2305531258620913,0.9875069887983421,96.19305608840216,83.33684007553828,73.4192740667434,2.3658230164694407,0.2305531258620913,3.427273670832316
city_19_oklahoma_3p5_s,0.29189929491603256,15.66276901289291,94.48200789877811,63.14602811348545,12.04501729742516,0.8505504059220257,0.23442949772622573,13.479460989491324,74.38238608090873,52.69635832695151,8.331832714860619,0.8505504059220257,0.9236128147501145
